
 Symbol Table:
 		Lexeme			Token					Attribute Value			Line Number

                main                    Identifier                             2                                  2
                node                    Identifier                             7                                  9
                   a                    Identifier                             8                                 10
                name                    Identifier                            11                                 11
                  _a                    Identifier                            13                                 13
                   b                    Identifier                            17                                 13
                   c                    Identifier                            18                                 13
             arr[50]                         Array                            21                                 14
                *ptr                       Pointer                            22                                 15
                 sum                    Identifier                            24                                 17
                 sum                    Identifier                            24                                 18
                   a                    Identifier                             8                                 18
                   b                    Identifier                            17                                 18
               *name                       Pointer                            27                                 20
                 abc                    Identifier                            31                                 28
