
				SymbolTable

		Token			Type							LineNumber

                void                       Keyword                                                        3 24
                main                    Identifier                                                           3
                   (                    Punctuator                                       3 9 10 18 20 20 21 24
                   )                    Punctuator                                       3 9 10 18 20 20 21 24
                   {                    Punctuator                                             4 8 13 15 17 25
                 int                       Keyword                                                     5 24 24
                   a                    Identifier                           5 9 16 16 18 18 24 26 26 27 28 28
                   [                    Punctuator                                             5 9 16 16 18 18
                   ]                    Punctuator                                             5 9 16 16 18 18
                   i                    Identifier                                        5 7 9 12 12 12 12 14
                   ,                    Punctuator                                                 5 5 9 18 24
                   j                    Identifier                                   5 14 14 14 14 16 16 18 18
                   ;                    Punctuator                                 5 9 12 12 14 14 18 26 27 28
               scanf                    Identifier                                                           9
                "%d"                String Literal                                                           9
                   &                      Operator                                                     9 18 18
                   }                    Punctuator                                           10 19 20 21 22 29
               while                       Keyword                                                          10
                   =                      Operator                                              12 14 26 27 28
                   -                      Operator                                                    14 27 28
                   +                      Operator                                                    16 18 26
                swap                    Identifier                                                       18 24
                  if                       Keyword                                                          20
                 for                       Keyword                                                       20 21
                   *                      Operator                            24 24 26 26 26 27 27 27 28 28 28
                   b                    Identifier                                              24 26 27 27 28
